Ia,Ib,Ic,Voltage,Torque,Speed,Condition
117.4155981,-41.29216225,-76.12343585,121.545458,91.99745569,156.5684573,HG
117.4155981,-41.29216225,-76.12343585,121.545458,91.99745569,156.5684573,HG
117.4155981,-41.29216225,-76.12343585,121.545458,91.99745569,156.5684573,HG
117.4156027,-41.29216689,-76.1234358,54.77585725,91.99748573,156.5684572,HG
117.4156128,-41.29218847,-76.12342433,24.68586811,91.99755934,156.5684572,HG
117.4156254,-41.29221768,-76.12340772,11.12569044,91.99765258,156.5684572,HG
117.4156419,-41.2922571,-76.12338485,4.21858051,91.99777568,156.5684572,HG
117.4156653,-41.29231329,-76.12335197,1.077037763,91.99794959,156.5684572,HG
117.4157005,-41.2923985,-76.12330197,0.102159364,91.99821244,156.5684572,HG
117.4157392,-41.29249227,-76.12324691,0.000372462,91.99850146,156.5684572,HG
117.4157392,-41.29249227,-76.1232469,0.000372443,91.99850146,156.5684572,HG
117.4157392,-41.29249227,-76.1232469,0.000372443,91.99850146,156.5684572,HG
117.4158022,-41.29264507,-76.12315717,0.001668996,91.99897235,156.5684572,HG
117.4161176,-41.29340903,-76.12270852,0.001401252,92.00132681,156.568457,HG
117.4176941,-41.29722885,-76.12046527,0.001240072,92.01309912,156.5684563,HG
117.4255772,-41.316328,-76.10924917,0.001254438,92.07196071,156.568453,HG
117.4649977,-41.41182474,-76.053173,0.001292009,92.36626998,156.568436,HG
117.6622333,-41.88933313,-75.77290021,0.001486435,93.83784915,156.5683512,HG
118.6517369,-44.27749495,-74.37424198,0.00246354,101.196571,156.5679273,HG
123.6832523,-56.23403097,-67.44922137,0.007483742,138.0113878,156.5658078,HG
141.2781588,-95.80073162,-45.47742721,0.025638944,259.5105191,156.5588284,HG
179.1945784,-171.4509201,-7.743658304,0.067111433,490.3337785,156.545641,HG
223.9374006,-248.275992,24.33859135,0.118556346,722.5609228,156.532453,HG
276.2258713,-325.8296723,49.603801,0.180524479,954.5229843,156.5192644,HG
354.2269051,-423.9036102,69.67670512,0.274615732,1243.842405,156.5025076,HG
445.2280627,-518.8785557,73.65049306,0.385463504,1518.835105,156.4857499,HG
548.1572496,-607.0556952,58.89844551,0.511092869,1768.08668,156.4689915,HG
660.6562177,-684.1537278,23.49751004,0.648180648,1978.78141,156.4522328,HG
779.118582,-745.7206032,-33.39797883,0.792075551,2138.003509,156.4354741,HG
892.8496575,-785.9939202,-106.8557372,0.929733477,2230.925789,156.4195664,HG
892.8496575,-785.9939202,-106.8557372,0.929733477,2230.925789,156.4195664,HG
928.3267686,-794.5817727,-133.7449959,0.972607129,2247.170836,156.4145392,HG
963.3089064,-801.0185262,-162.2903803,1.014832346,2256.734436,156.4095121,HG
1075.303805,-805.9521177,-269.3516869,1.149831021,2238.104368,156.3925928,HG
1174.064318,-784.3565677,-389.7077507,1.268663849,2139.707059,156.3756759,HG
1254.192224,-736.3340414,-517.8581826,1.365087096,1963.724422,156.3587621,HG
1311.235022,-663.7105917,-647.5244301,1.433942706,1717.4644,156.3418521,HG
1342.097827,-569.9581533,-772.1396733,1.471624192,1412.964181,156.3249466,HG
1345.331871,-459.9539206,-885.3779505,1.476387159,1066.122145,156.308046,HG
1321.269271,-339.6016015,-981.6676696,1.448496764,695.4517304,156.2911507,HG
1271.988877,-215.3539062,-1056.634971,1.390196348,320.5855999,156.2742607,HG
1201.117469,-93.68658357,-1107.430885,1.305501452,-39.3119901,156.2573761,HG
1142.876662,-15.3358175,-1127.540845,1.237319302,-267.1679776,156.2458692,HG
1142.876662,-15.3358175,-1127.540845,1.237319302,-267.1679776,156.2458692,HG
1142.876662,-15.3358175,-1127.540845,1.237319302,-267.1679776,156.2458692,HG
1141.7166,-13.91136138,-1127.805239,1.233700641,-271.2882651,156.2456525,HG
1140.819356,-12.81280305,-1128.006553,1.232616843,-274.4650814,156.2454852,HG
1140.738192,-12.71356481,-1128.024627,1.23251876,-274.7520281,156.2454701,HG
