Ia,Ib,Ic,Voltage,Torque,Speed,Condition
187.55693,95.67135805,-283.228288,0.069671959,-176.185956,156.0586274,SF
177.3707783,81.22390294,-258.5946812,0.061294113,-153.0778879,156.0432507,SF
168.8459265,66.20574857,-235.0516751,0.058970949,-129.4946393,156.0278754,SF
161.6619369,50.41664802,-212.0785849,0.062157522,-105.091172,156.0125014,SF
157.6787865,39.52718049,-197.205967,0.066926897,-88.48177892,156.0024919,SF
157.6787865,39.52718049,-197.205967,0.066926897,-88.48177892,156.0024919,SF
152.7804716,21.50352216,-174.2839938,0.078402566,-61.36490148,155.98712,SF
149.7684351,1.416481345,-151.1849165,0.094658459,-31.69397763,155.9717494,SF
149.1368843,-11.66227939,-137.4746049,0.106527859,-12.67915756,155.9626448,SF
149.1368843,-11.66227939,-137.4746049,0.106527859,-12.67915756,155.9626448,SF
150.546134,-35.93970038,-114.6064336,0.13032047,22.05134835,155.9472762,SF
155.7795094,-63.09438002,-92.68512933,0.158897381,60.08727095,155.9319088,SF
165.6120019,-92.95602765,-72.65597423,0.192153016,101.0239836,155.9165425,SF
180.656513,-125.0010457,-55.65546727,0.229869158,143.9941191,155.9011774,SF
201.2572715,-158.3486956,-42.9085759,0.271572836,187.6886918,155.8858134,SF
227.4054495,-191.7967061,-35.60874338,0.316494477,230.428663,155.8704506,SF
250.2750733,-215.9379738,-34.33709947,0.351433676,260.5218307,155.8589996,SF
250.2750733,-215.9379738,-34.33709947,0.351433676,260.5218307,155.8589996,SF
284.8646035,-246.0639454,-38.80065807,0.399174018,296.9242228,155.8436388,SF
322.8830949,-272.0437929,-50.83930201,0.446436138,326.8964351,155.8282793,SF
362.8141497,-292.216296,-70.59785368,0.491381747,348.5722596,155.812921,SF
402.9220688,-305.3330851,-97.58898372,0.532054316,360.5270067,155.7975641,SF
441.3155195,-310.3803623,-130.9351572,0.566559338,361.7704759,155.7822086,SF
476.094351,-306.7677385,-169.3266125,0.593135478,351.894797,155.7668548,SF
505.4894389,-294.3906889,-211.09875,0.610307741,331.1254917,155.7515025,SF
527.9949499,-273.6538198,-254.3411302,0.617009156,300.3206734,155.736152,SF
542.4811022,-245.4525441,-297.0285582,0.612677724,260.9184556,155.7208033,SF
548.2773169,-211.1146146,-337.1627023,0.59731912,214.8374208,155.7054565,SF
545.2184323,-172.3066745,-372.9117578,0.571528549,164.3392531,155.6901116,SF
533.6500967,-130.9141788,-402.7359179,0.536468753,111.8659724,155.6747686,SF
519.3367345,-98.3056467,-421.0310878,0.503912711,71.39851525,155.6628777,SF
519.3367345,-98.3056467,-421.0310878,0.503912711,71.39851525,155.6628777,SF
494.9454681,-57.14172608,-437.803742,0.456733721,21.3528994,155.6475382,SF
465.2494608,-18.63088247,-446.6185784,0.405837327,-24.36959393,155.6322007,SF
431.9192663,15.72793144,-447.6471977,0.353625714,-64.12187407,155.616865,SF
396.6985414,44.8025607,-441.5011021,0.302520891,-96.75323863,155.6015312,SF
361.2724606,67.88313749,-429.1555981,0.254778513,-121.6523879,155.5861992,SF
327.1479529,84.69946861,-411.8474215,0.212347605,-138.7434329,155.5708688,SF
295.5561162,95.4001426,-390.9562588,0.176757062,-148.4373412,155.5555401,SF
267.3848026,100.4967469,-367.8815495,0.149037524,-151.5453024,155.5402129,SF
243.1463293,100.7797726,-343.9261019,0.129683939,-149.1637976,155.5248872,SF
222.9818232,97.21526662,-320.1970899,0.118762537,-142.5434427,155.509563,SF
206.7001702,90.8328374,-297.5330076,0.115549885,-132.954719,155.4942403,SF
193.8461669,82.61651593,-276.4626829,0.119217009,-121.563658,155.4789189,SF
185.9403937,75.62639679,-261.5667905,0.125834232,-112.2412858,155.4672018,SF
185.9403937,75.62639679,-261.5667905,0.125834232,-112.2412858,155.4672018,SF
177.5498678,66.09650813,-243.6463759,0.138520074,-99.83573758,155.451883,SF
170.7297161,56.50631335,-227.2360295,0.154373507,-87.57071217,155.4365655,SF
164.8889719,47.01219221,-211.9011641,0.171961765,-75.56504368,155.4212495,SF
159.6144168,37.50976762,-197.1241844,0.190027437,-63.64838855,155.4059348,SF
154.7237694,27.67706512,-182.4008345,0.207547243,-51.42322827,155.3906216,SF
150.2889383,17.0429555,-167.3318938,0.223785555,-38.35153661,155.3753098,SF
146.6273696,5.073068005,-151.7004376,0.23831481,-23.85613679,155.3599993,SF
144.2627777,-8.736316481,-135.5264612,0.251003052,-7.425534032,155.3446903,SF
143.8596624,-24.76659393,-119.0930684,0.261972041,11.28909578,155.3293825,SF
146.1386437,-43.19728284,-102.9413609,0.271532124,32.39507195,155.3140762,SF
151.7815615,-63.94722146,-87.83434003,0.280183548,55.70585111,155.2987711,SF
161.3363314,-86.64301581,-74.69331559,0.28820799,80.72068379,155.2834673,SF
175.1315016,-110.6182477,-64.51325397,0.296065442,106.6384169,155.2681649,SF
193.2094956,-134.9443682,-58.26512735,0.304010958,132.4044154,155.2528637,SF
215.28586,-158.490899,-56.79496102,0.312123522,156.7862526,155.2375638,SF
240.7390379,-180.0090834,-60.72995459,0.320282932,178.4706576,155.2222652,SF
268.6323734,-198.2315197,-70.40085375,0.328173742,196.1725912,155.2069679,SF
297.766882,-211.9784042,-85.78847775,0.335315679,208.7460194,155.1916721,SF
326.7603364,-220.2603536,-106.4999828,0.341116878,215.2858595,155.1763776,SF
354.1456845,-222.3680786,-131.7776058,0.344943861,215.2114793,155.1610846,SF
378.4799533,-217.9403998,-160.5395535,0.346200446,208.3239343,155.1457932,SF
398.4537899,-207.0041228,-191.4496671,0.344406818,194.8316526,155.1305033,SF
412.9917246,-189.9819292,-223.0097954,0.339269922,175.3422608,155.1152151,SF
421.3341208,-167.667421,-253.6666998,0.330737259,150.8214038,155.0999287,SF
423.0935001,-141.1695046,-281.9239955,0.319027746,122.5224396,155.0846439,SF
418.2803357,-111.8311195,-306.4492162,0.304635673,91.89350523,155.0693609,SF
407.2962484,-81.12963749,-326.1666109,0.288306487,60.47040944,155.0540797,SF
390.8955511,-50.5678726,-340.3276785,0.270985944,29.76494623,155.0388002,SF
370.1189759,-21.56539849,-348.5535774,0.253746949,1.158444376,155.0235225,SF
362.5720044,-12.63742318,-349.9345812,0.248343075,-7.558847247,155.0185205,SF
362.5720044,-12.63742318,-349.9345812,0.248343075,-7.558847247,155.0185205,SF
362.5720044,-12.63742318,-349.9345812,0.248343075,-7.558847247,155.0185205,SF
355.4013045,-4.752139065,-350.6491654,0.243528251,-15.20492807,155.0139377,SF
341.8419364,8.786642591,-350.628579,0.235186809,-28.21081527,155.0055964,SF
315.867475,30.56312009,-346.4305951,0.221855271,-48.70658756,154.9902724,SF
315.867475,30.56312009,-346.4305951,0.221855271,-48.70658756,154.9902724,SF
305.3261518,38.01754158,-343.3436934,0.217285456,-55.60833092,154.9841347,SF
294.8283706,44.7164483,-339.5448189,0.213504865,-61.72939663,154.9779973,SF
266.7492532,59.22459974,-325.9738529,0.206123497,-74.52572099,154.9610996,SF
240.9418408,67.99148747,-308.9333283,0.2038214,-81.62469002,154.9442038,SF
218.3987655,71.52058662,-289.9193521,0.206585582,-83.66062894,154.9273098,SF
199.6680065,70.66562323,-270.3336297,0.213848813,-81.5745729,154.9104178,SF
184.85083,66.49764547,-251.3484755,0.224566675,-76.47639824,154.8935275,SF
173.6502937,60.15687014,-233.8071638,0.237316724,-69.49923069,154.876639,SF
165.4634206,52.7078545,-218.1712751,0.250440352,-61.66400858,154.8597523,SF
159.5035609,45.01471954,-204.5182804,0.262211555,-53.76903877,154.8428673,SF
154.9370774,37.65069748,-192.5877749,0.271014966,-46.31644292,154.8259841,SF
151.017047,30.85173816,-181.8687852,0.275513964,-39.48250063,154.8091027,SF
147.19746,24.51837645,-171.7158364,0.27479083,-33.13343243,154.792223,SF
143.214132,18.26413437,-161.4782664,0.268444016,-26.88268343,154.7753452,SF
139.1228731,11.50311235,-150.6259855,0.256632366,-20.18090946,154.7584691,SF
135.8204438,4.841553211,-140.661997,0.243904167,-13.66315373,154.7440921,SF
135.8204438,4.841553211,-140.661997,0.243904167,-13.66315373,154.7440921,SF
135.4981746,4.067139583,-139.5653141,0.241061387,-12.9145033,154.7425735,SF
135.1825836,3.278259688,-138.4608433,0.239393459,-12.15304106,154.7410549,SF
133.7232002,-0.89376136,-132.8294388,0.230641096,-8.142626224,154.733462,SF
131.4932966,-11.60549663,-119.8877999,0.209502615,2.039387793,154.7167076,SF
131.3089393,-24.68511339,-106.623826,0.187167864,14.24448273,154.6999549,SF
133.9705428,-40.17667837,-93.79386444,0.165401991,28.44933788,154.6832038,SF
140.1424365,-57.7799501,-82.36248642,0.145929451,44.32464162,154.6664544,SF
